parent_theme,child_theme,topic,geography_type,geography,metric,stratum,year,epiweek,start_date,metric_value
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,9,28/02/2022,0.310876641
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,10,07/03/2022,0.69644341
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,11,14/03/2022,0.66877246
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,12,21/03/2022,1.036282985
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,13,28/03/2022,0.919171562
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,14,04/04/2022,1.148563124
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,15,11/04/2022,0.657576376
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,16,18/04/2022,0.696223237
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,17,25/04/2022,0.358979714
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,18,02/05/2022,0.50817074
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,19,09/05/2022,0.406099907
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,20,16/05/2022,0.316863291
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,21,23/05/2022,0.224380393
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,22,30/05/2022,0.221874653
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,23,06/06/2022,0.150258059
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,24,13/06/2022,0.175541612
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,25,20/06/2022,0.164459153
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,26,27/06/2022,0.168387318
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,27,04/07/2022,0.067776524
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,28,11/07/2022,0.236990064
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,29,18/07/2022,0.177714827
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,30,25/07/2022,0.114661818
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,31,01/08/2022,0.105105003
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,32,08/08/2022,0.215679149
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,33,15/08/2022,0.122501755
